"ST","conference","D1School","Seed","Region"
"2005_1173","a_ten",1,NA,NA
"2005_1174","caa",1,NA,NA
"2005_1175","meac",1,16,"Austin"
"2005_1176","sun_belt",1,NA,NA
"2005_1177","cusa",1,NA,NA
"2005_1178","horizon",1,NA,NA
"2005_1179","mvc",1,NA,NA
"2005_1180","caa",1,NA,NA
"2005_1181","acc",1,1,"Austin"
"2005_1182","a_ten",1,NA,NA
"2005_1183","ovc",1,NA,NA
"2005_1184","ovc",1,15,"Austin"
"2005_1185","mac",1,NA,NA
"2005_1186","big_sky",1,NA,NA
"2005_1187","cusa",1,NA,NA
"2005_1189","southern",1,NA,NA
"2005_1190","southern",1,NA,NA
"2005_1191","mvc",1,NA,NA
"2005_1192","nec",1,16,"Chicago"
"2005_1193","maac",1,NA,NA
"2005_1194","a_sun",1,NA,NA
"2005_1196","sec",1,4,"Syracuse"
"2005_1197","meac",1,NA,NA
"2005_1198","sun_belt",1,NA,NA
"2005_1199","acc",1,NA,NA
"2005_1200","a_ten",1,NA,NA
"2005_1201","wac",1,NA,NA
"2005_1202","southern",1,NA,NA
"2005_1203","a_ten",1,12,"Albuquerque"
"2005_1204","southern",1,NA,NA
"2005_1205","a_sun",1,NA,NA
"2005_1206","caa",1,NA,NA
"2005_1207","big_east",1,NA,NA
"2005_1208","sec",1,NA,NA
"2005_1209","a_sun",1,NA,NA
"2005_1210","acc",1,5,"Albuquerque"
"2005_1211","wcc",1,3,"Albuquerque"
"2005_1212","swac",1,NA,NA
"2005_1214","meac",1,NA,NA
"2005_1216","aec",1,NA,NA
"2005_1217","ivy",1,NA,NA
"2005_1218","wac",1,NA,NA
"2005_1219","big_south",1,NA,NA
"2005_1220","caa",1,NA,NA
"2005_1221","patriot",1,NA,NA
"2005_1222","cusa",1,NA,NA
"2005_1224","meac",1,NA,NA
"2005_1225","big_west",1,NA,NA
"2005_1226","big_sky",1,NA,NA
"2005_1227","horizon",1,NA,NA
"2005_1228","big_ten",1,1,"Chicago"
"2005_1229","mvc",1,NA,NA
"2005_1231","big_ten",1,NA,NA
"2005_1232","mvc",1,NA,NA
"2005_1233","maac",1,NA,NA
"2005_1234","big_ten",1,10,"Austin"
"2005_1235","big_twelve",1,9,"Syracuse"
"2005_1236","ind",1,NA,NA
"2005_1237","mid_cont",1,NA,NA
"2005_1238","swac",1,NA,NA
"2005_1239","a_sun",1,NA,NA
"2005_1240","ovc",1,NA,NA
"2005_1241","caa",1,NA,NA
"2005_1242","big_twelve",1,3,"Syracuse"
"2005_1243","big_twelve",1,NA,NA
"2005_1245","mac",1,NA,NA
"2005_1246","sec",1,2,"Austin"
"2005_1247","a_ten",1,NA,NA
"2005_1248","patriot",1,NA,NA
"2005_1249","southland",1,NA,NA
"2005_1250","patriot",1,NA,NA
"2005_1251","big_south",1,NA,NA
"2005_1252","a_sun",1,NA,NA
"2005_1253","big_west",1,NA,NA
"2005_1254","nec",1,NA,NA
"2005_1255","ind",0,NA,NA
"2005_1256","wac",1,NA,NA
"2005_1257","cusa",1,4,"Albuquerque"
"2005_1258","wcc",1,NA,NA
"2005_1259","maac",1,NA,NA
"2005_1260","horizon",1,NA,NA
"2005_1261","sec",1,6,"Chicago"
"2005_1263","aec",1,NA,NA
"2005_1264","maac",1,NA,NA
"2005_1265","maac",1,NA,NA
"2005_1266","cusa",1,NA,NA
"2005_1267","mac",1,NA,NA
"2005_1268","acc",1,NA,NA
"2005_1269","a_ten",1,NA,NA
"2005_1270","southland",1,NA,NA
"2005_1271","meac",1,NA,NA
"2005_1272","cusa",1,NA,NA
"2005_1273","a_sun",1,NA,NA
"2005_1274","acc",1,NA,NA
"2005_1275","mac",1,NA,NA
"2005_1276","big_ten",1,NA,NA
"2005_1277","big_ten",1,5,"Austin"
"2005_1278","big_ten",1,8,"Syracuse"
"2005_1279","sec",1,NA,NA
"2005_1280","sec",1,9,"Austin"
"2005_1281","big_twelve",1,NA,NA
"2005_1282","mid_cont",1,NA,NA
"2005_1283","mvc",1,NA,NA
"2005_1284","nec",1,NA,NA
"2005_1285","big_sky",1,16,"Albuquerque"
"2005_1286","big_sky",1,NA,NA
"2005_1287","ovc",1,NA,NA
"2005_1288","meac",1,NA,NA
"2005_1290","swac",1,NA,NA
"2005_1291","nec",1,NA,NA
"2005_1292","sun_belt",1,NA,NA
"2005_1293","ovc",1,NA,NA
"2005_1294","ind",0,NA,NA
"2005_1296","mac",1,NA,NA
"2005_1298","patriot",1,NA,NA
"2005_1299","meac",1,NA,NA
"2005_1301","acc",1,10,"Syracuse"
"2005_1304","big_twelve",1,NA,NA
"2005_1305","wac",1,9,"Chicago"
"2005_1306","aec",1,NA,NA
"2005_1307","mwc",1,12,"Syracuse"
"2005_1308","sun_belt",1,NA,NA
"2005_1309","sun_belt",1,NA,NA
"2005_1310","maac",1,14,"Austin"
"2005_1311","southland",1,NA,NA
"2005_1313","meac",1,NA,NA
"2005_1314","acc",1,1,"Syracuse"
"2005_1317","sun_belt",1,NA,NA
"2005_1318","aec",1,NA,NA
"2005_1319","big_sky",1,NA,NA
"2005_1320","mvc",1,11,"Syracuse"
"2005_1321","big_ten",1,NA,NA
"2005_1322","southland",1,NA,NA
"2005_1323","big_east",1,NA,NA
"2005_1324","mid_cont",1,16,"Syracuse"
"2005_1325","mac",1,13,"Syracuse"
"2005_1326","big_ten",1,NA,NA
"2005_1328","big_twelve",1,3,"Austin"
"2005_1329","big_twelve",1,2,"Chicago"
"2005_1330","caa",1,12,"Austin"
"2005_1331","mid_cont",1,NA,NA
"2005_1332","pac_ten",1,NA,NA
"2005_1333","pac_ten",1,NA,NA
"2005_1334","big_west",1,8,"Albuquerque"
"2005_1335","ivy",1,13,"Chicago"
"2005_1336","big_ten",1,NA,NA
"2005_1337","wcc",1,NA,NA
"2005_1338","big_east",1,9,"Albuquerque"
"2005_1339","wcc",1,NA,NA
"2005_1340","big_sky",1,NA,NA
"2005_1341","swac",1,NA,NA
"2005_1343","ivy",1,NA,NA
"2005_1344","big_east",1,NA,NA
"2005_1345","big_ten",1,NA,NA
"2005_1346","nec",1,NA,NA
"2005_1347","big_south",1,NA,NA
"2005_1348","a_ten",1,NA,NA
"2005_1349","wac",1,NA,NA
"2005_1350","a_ten",1,NA,NA
"2005_1351","maac",1,NA,NA
"2005_1352","nec",1,NA,NA
"2005_1353","big_east",1,NA,NA
"2005_1354","meac",1,NA,NA
"2005_1356","mvc",1,7,"Chicago"
"2005_1357","nec",1,NA,NA
"2005_1358","southland",1,NA,NA
"2005_1359","ovc",1,NA,NA
"2005_1360","wcc",1,NA,NA
"2005_1361","mwc",1,NA,NA
"2005_1362","wcc",1,NA,NA
"2005_1363","wac",1,NA,NA
"2005_1364","big_west",1,NA,NA
"2005_1365","wcc",1,NA,NA
"2005_1366","ind",1,NA,NA
"2005_1368","southland",1,15,"Chicago"
"2005_1369","ovc",1,NA,NA
"2005_1371","big_east",1,NA,NA
"2005_1372","southland",1,NA,NA
"2005_1373","maac",1,NA,NA
"2005_1374","wac",1,NA,NA
"2005_1375","sun_belt",1,NA,NA
"2005_1376","sec",1,NA,NA
"2005_1378","cusa",1,NA,NA
"2005_1379","cusa",1,NA,NA
"2005_1380","swac",1,NA,NA
"2005_1381","mid_cont",1,NA,NA
"2005_1382","a_ten",1,NA,NA
"2005_1383","nec",1,NA,NA
"2005_1384","nec",1,NA,NA
"2005_1385","big_east",1,NA,NA
"2005_1386","a_ten",1,NA,NA
"2005_1387","cusa",1,NA,NA
"2005_1388","wcc",1,10,"Chicago"
"2005_1389","maac",1,NA,NA
"2005_1390","pac_ten",1,8,"Austin"
"2005_1391","a_sun",1,NA,NA
"2005_1392","aec",1,NA,NA
"2005_1393","big_east",1,4,"Austin"
"2005_1394","ind",1,NA,NA
"2005_1395","cusa",1,NA,NA
"2005_1396","a_ten",1,NA,NA
"2005_1397","sec",1,NA,NA
"2005_1398","ovc",1,NA,NA
"2005_1399","ovc",1,NA,NA
"2005_1400","big_twelve",1,8,"Chicago"
"2005_1401","big_twelve",1,NA,NA
"2005_1402","southland",1,NA,NA
"2005_1403","big_twelve",1,6,"Albuquerque"
"2005_1404","ovc",1,NA,NA
"2005_1405","mac",1,NA,NA
"2005_1406","caa",1,NA,NA
"2005_1407","a_sun",1,NA,NA
"2005_1408","cusa",1,NA,NA
"2005_1409","wac",1,NA,NA
"2005_1410","ind",1,NA,NA
"2005_1411","swac",1,NA,NA
"2005_1412","cusa",1,11,"Chicago"
"2005_1413","ind",1,NA,NA
"2005_1414","big_west",1,NA,NA
"2005_1415","big_west",1,NA,NA
"2005_1416","a_sun",1,15,"Syracuse"
"2005_1417","pac_ten",1,11,"Albuquerque"
"2005_1418","sun_belt",1,13,"Albuquerque"
"2005_1419","southland",1,NA,NA
"2005_1420","aec",1,NA,NA
"2005_1421","big_south",1,NA,NA
"2005_1422","southern",1,NA,NA
"2005_1423","caa",1,NA,NA
"2005_1424","mwc",1,NA,NA
"2005_1425","pac_ten",1,NA,NA
"2005_1426","southland",1,NA,NA
"2005_1427","southland",1,NA,NA
"2005_1428","mwc",1,6,"Austin"
"2005_1429","big_west",1,14,"Chicago"
"2005_1430","ind",0,NA,NA
"2005_1431","wac",1,11,"Austin"
"2005_1433","caa",1,NA,NA
"2005_1434","mid_cont",1,NA,NA
"2005_1435","sec",1,NA,NA
"2005_1436","aec",1,13,"Austin"
"2005_1437","big_east",1,5,"Syracuse"
"2005_1438","acc",1,NA,NA
"2005_1439","acc",1,NA,NA
"2005_1440","big_south",1,NA,NA
"2005_1441","southern",1,NA,NA
"2005_1442","mid_cont",1,NA,NA
"2005_1443","sun_belt",1,NA,NA
"2005_1444","mac",1,NA,NA
"2005_1447","nec",1,NA,NA
"2005_1448","acc",1,2,"Albuquerque"
"2005_1449","pac_ten",1,1,"Albuquerque"
"2005_1450","pac_ten",1,NA,NA
"2005_1451","big_sky",1,NA,NA
"2005_1452","big_east",1,7,"Albuquerque"
"2005_1453","horizon",1,NA,NA
"2005_1454","horizon",1,12,"Chicago"
"2005_1455","mvc",1,NA,NA
"2005_1456","caa",1,NA,NA
"2005_1457","big_south",1,14,"Albuquerque"
"2005_1458","big_ten",1,6,"Syracuse"
"2005_1459","southern",1,NA,NA
"2005_1460","horizon",1,NA,NA
"2005_1461","mwc",1,NA,NA
"2005_1462","a_ten",1,NA,NA
"2005_1463","ivy",1,NA,NA
"2005_1464","horizon",1,NA,NA
"2006_1102","mwc",1,13,"WashingtonDC"
"2006_1103","mac",1,NA,NA
"2006_1104","sec",1,10,"Oakland"
"2006_1105","swac",1,NA,NA
"2006_1106","swac",1,NA,NA
"2006_1107","aec",1,16,"WashingtonDC"
"2006_1108","swac",1,NA,NA
"2006_1110","patriot",1,NA,NA
"2006_1111","southern",1,NA,NA
"2006_1112","pac_ten",1,8,"Minneapolis"
"2006_1113","pac_ten",1,NA,NA
"2006_1114","sun_belt",1,NA,NA
"2006_1115","swac",1,NA,NA
"2006_1116","sec",1,8,"Oakland"
"2006_1117","sun_belt",1,NA,NA
"2006_1119","patriot",1,NA,NA
"2006_1120","sec",1,NA,NA
"2006_1122","ovc",1,NA,NA
"2006_1123","mac",1,NA,NA
"2006_1124","big_twelve",1,NA,NA
"2006_1125","a_sun",1,15,"Oakland"
"2006_1126","meac",1,NA,NA
"2006_1127","aec",1,NA,NA
"2006_1128","big_south",1,NA,NA
"2006_1129","wac",1,NA,NA
"2006_1130","acc",1,4,"Minneapolis"
"2006_1131","aec",1,NA,NA
"2006_1132","mac",1,NA,NA
"2006_1133","mvc",1,13,"Oakland"
"2006_1135","ivy",1,NA,NA
"2006_1137","patriot",1,9,"Oakland"
"2006_1138","mac",1,NA,NA
"2006_1139","horizon",1,NA,NA
"2006_1140","mwc",1,NA,NA
"2006_1141","mac",1,NA,NA
"2006_1142","big_west",1,NA,NA
"2006_1143","pac_ten",1,7,"Atlanta"
"2006_1144","a_sun",1,NA,NA
"2006_1145","maac",1,NA,NA
"2006_1147","mid_cont",1,NA,NA
"2006_1148","nec",1,NA,NA
"2006_1149","big_south",1,NA,NA
"2006_1150","a_ten",1,NA,NA
"2006_1151","southern",1,NA,NA
"2006_1152","mid_cont",1,NA,NA
"2006_1153","big_east",1,NA,NA
"2006_1154","southern",1,NA,NA
"2006_1155","acc",1,NA,NA
"2006_1156","horizon",1,NA,NA
"2006_1157","big_south",1,NA,NA
"2006_1158","southern",1,NA,NA
"2006_1159","patriot",1,NA,NA
"2006_1160","big_twelve",1,NA,NA
"2006_1161","mwc",1,NA,NA
"2006_1162","ivy",1,NA,NA
"2006_1163","big_east",1,1,"WashingtonDC"
"2006_1164","meac",1,NA,NA
"2006_1165","ivy",1,NA,NA
"2006_1166","mvc",1,NA,NA
"2006_1168","big_west",1,NA,NA
"2006_1169","big_west",1,NA,NA
"2006_1170","big_sky",1,NA,NA
"2006_1171","ivy",1,NA,NA
"2006_1172","southern",1,15,"Minneapolis"
"2006_1173","a_ten",1,NA,NA
"2006_1174","caa",1,NA,NA
"2006_1175","meac",1,NA,NA
"2006_1176","sun_belt",1,NA,NA
"2006_1177","big_east",1,NA,NA
"2006_1178","horizon",1,NA,NA
"2006_1179","mvc",1,NA,NA
"2006_1180","caa",1,NA,NA
"2006_1181","acc",1,1,"Atlanta"
"2006_1182","a_ten",1,NA,NA
"2006_1183","ovc",1,NA,NA
"2006_1184","ovc",1,NA,NA
"2006_1185","mac",1,NA,NA
"2006_1186","big_sky",1,NA,NA
"2006_1187","cusa",1,NA,NA
"2006_1189","southern",1,NA,NA
"2006_1190","a_sun",1,NA,NA
"2006_1191","mvc",1,NA,NA
"2006_1192","nec",1,NA,NA
"2006_1193","maac",1,NA,NA
"2006_1194","a_sun",1,NA,NA
"2006_1196","sec",1,3,"Minneapolis"
"2006_1197","meac",1,NA,NA
"2006_1198","sun_belt",1,NA,NA
"2006_1199","acc",1,NA,NA
"2006_1200","a_ten",1,NA,NA
"2006_1201","wac",1,NA,NA
"2006_1202","southern",1,NA,NA
"2006_1203","a_ten",1,8,"Atlanta"
"2006_1204","southern",1,NA,NA
"2006_1205","a_sun",1,NA,NA
"2006_1206","caa",1,11,"WashingtonDC"
"2006_1207","big_east",1,7,"Minneapolis"
"2006_1208","sec",1,NA,NA
"2006_1209","caa",1,NA,NA
"2006_1210","acc",1,NA,NA
"2006_1211","wcc",1,3,"Oakland"
"2006_1212","swac",1,NA,NA
"2006_1214","meac",1,16,"Minneapolis"
"2006_1216","aec",1,NA,NA
"2006_1217","ivy",1,NA,NA
"2006_1218","wac",1,NA,NA
"2006_1219","big_south",1,NA,NA
"2006_1220","caa",1,NA,NA
"2006_1221","patriot",1,NA,NA
"2006_1222","cusa",1,NA,NA
"2006_1224","meac",1,NA,NA
"2006_1225","wac",1,NA,NA
"2006_1226","big_sky",1,NA,NA
"2006_1227","horizon",1,NA,NA
"2006_1228","big_ten",1,4,"WashingtonDC"
"2006_1229","mvc",1,NA,NA
"2006_1231","big_ten",1,6,"Oakland"
"2006_1232","mvc",1,NA,NA
"2006_1233","maac",1,13,"Atlanta"
"2006_1234","big_ten",1,3,"Atlanta"
"2006_1235","big_twelve",1,NA,NA
"2006_1236","ind",1,NA,NA
"2006_1237","mid_cont",1,NA,NA
"2006_1238","swac",1,NA,NA
"2006_1239","a_sun",1,NA,NA
"2006_1240","ovc",1,NA,NA
"2006_1241","caa",1,NA,NA
"2006_1242","big_twelve",1,4,"Oakland"
"2006_1243","big_twelve",1,NA,NA
"2006_1244","a_sun",0,NA,NA
"2006_1245","mac",1,12,"Oakland"
"2006_1246","sec",1,8,"WashingtonDC"
"2006_1247","a_ten",1,NA,NA
"2006_1248","patriot",1,NA,NA
"2006_1249","southland",1,NA,NA
"2006_1250","patriot",1,NA,NA
"2006_1251","big_south",1,NA,NA
"2006_1252","a_sun",1,NA,NA
"2006_1253","big_west",1,NA,NA
"2006_1254","nec",1,NA,NA
"2006_1255","ind",0,NA,NA
"2006_1256","wac",1,NA,NA
"2006_1257","big_east",1,NA,NA
"2006_1258","wcc",1,NA,NA
"2006_1259","maac",1,NA,NA
"2006_1260","horizon",1,NA,NA
"2006_1261","sec",1,4,"Atlanta"
"2006_1263","aec",1,NA,NA
"2006_1264","maac",1,NA,NA
"2006_1265","maac",1,NA,NA
"2006_1266","big_east",1,7,"Oakland"
"2006_1267","cusa",1,NA,NA
"2006_1268","acc",1,NA,NA
"2006_1269","a_ten",1,NA,NA
"2006_1270","southland",1,NA,NA
"2006_1271","meac",1,NA,NA
"2006_1272","cusa",1,1,"Oakland"
"2006_1273","a_sun",1,NA,NA
"2006_1274","acc",1,NA,NA
"2006_1275","mac",1,NA,NA
"2006_1276","big_ten",1,NA,NA
"2006_1277","big_ten",1,6,"WashingtonDC"
"2006_1278","big_ten",1,NA,NA
"2006_1279","sec",1,NA,NA
"2006_1280","sec",1,NA,NA
"2006_1281","big_twelve",1,NA,NA
"2006_1282","mid_cont",1,NA,NA
"2006_1283","mvc",1,NA,NA
"2006_1284","nec",1,16,"Minneapolis"
"2006_1285","big_sky",1,12,"Minneapolis"
"2006_1286","big_sky",1,NA,NA
"2006_1287","ovc",1,NA,NA
"2006_1288","meac",1,NA,NA
"2006_1290","swac",1,NA,NA
"2006_1291","nec",1,NA,NA
"2006_1292","sun_belt",1,NA,NA
"2006_1293","ovc",1,14,"WashingtonDC"
"2006_1294","ind",0,NA,NA
"2006_1295","ind",0,NA,NA
"2006_1296","mac",1,NA,NA
"2006_1298","patriot",1,NA,NA
"2006_1299","meac",1,NA,NA
"2006_1301","acc",1,10,"Atlanta"
"2006_1304","big_twelve",1,NA,NA
"2006_1305","wac",1,5,"Minneapolis"
"2006_1306","aec",1,NA,NA
"2006_1307","mwc",1,NA,NA
"2006_1308","wac",1,NA,NA
"2006_1309","sun_belt",1,NA,NA
"2006_1310","maac",1,NA,NA
"2006_1311","southland",1,NA,NA
"2006_1313","meac",1,NA,NA
"2006_1314","acc",1,3,"WashingtonDC"
"2006_1316","a_sun",1,NA,NA
"2006_1317","sun_belt",1,NA,NA
"2006_1318","caa",1,NA,NA
"2006_1319","big_sky",1,NA,NA
"2006_1320","mvc",1,10,"Minneapolis"
"2006_1321","big_ten",1,NA,NA
"2006_1322","southland",1,14,"Atlanta"
"2006_1323","big_east",1,NA,NA
"2006_1324","mid_cont",1,NA,NA
"2006_1325","mac",1,NA,NA
"2006_1326","big_ten",1,2,"Minneapolis"
"2006_1328","big_twelve",1,6,"Minneapolis"
"2006_1329","big_twelve",1,NA,NA
"2006_1330","caa",1,NA,NA
"2006_1331","mid_cont",1,16,"Oakland"
"2006_1332","pac_ten",1,NA,NA
"2006_1333","pac_ten",1,NA,NA
"2006_1334","big_west",1,13,"Minneapolis"
"2006_1335","ivy",1,15,"Atlanta"
"2006_1336","big_ten",1,NA,NA
"2006_1337","wcc",1,NA,NA
"2006_1338","big_east",1,5,"Oakland"
"2006_1339","wcc",1,NA,NA
"2006_1340","big_sky",1,NA,NA
"2006_1341","swac",1,NA,NA
"2006_1343","ivy",1,NA,NA
"2006_1344","big_east",1,NA,NA
"2006_1345","big_ten",1,NA,NA
"2006_1346","nec",1,NA,NA
"2006_1347","big_south",1,NA,NA
"2006_1348","a_ten",1,NA,NA
"2006_1349","cusa",1,NA,NA
"2006_1350","a_ten",1,NA,NA
"2006_1351","maac",1,NA,NA
"2006_1352","nec",1,NA,NA
"2006_1353","big_east",1,NA,NA
"2006_1354","meac",1,NA,NA
"2006_1355","ind",0,NA,NA
"2006_1356","mvc",1,11,"Atlanta"
"2006_1357","nec",1,NA,NA
"2006_1358","southland",1,NA,NA
"2006_1359","ovc",1,NA,NA
"2006_1360","wcc",1,NA,NA
"2006_1361","mwc",1,11,"Oakland"
"2006_1362","wcc",1,NA,NA
"2006_1363","wac",1,NA,NA
"2006_1364","big_west",1,NA,NA
"2006_1365","wcc",1,NA,NA
"2006_1366","ind",1,NA,NA
"2006_1368","southland",1,NA,NA
"2006_1369","ovc",1,NA,NA
"2006_1371","big_east",1,10,"WashingtonDC"
"2006_1372","southland",1,NA,NA
"2006_1373","maac",1,NA,NA
"2006_1374","cusa",1,NA,NA
"2006_1375","sun_belt",1,14,"Minneapolis"
"2006_1376","sec",1,NA,NA
"2006_1378","big_east",1,NA,NA
"2006_1379","cusa",1,NA,NA
"2006_1380","swac",1,16,"Atlanta"
"2006_1381","mid_cont",1,NA,NA
"2006_1382","a_ten",1,NA,NA
"2006_1383","nec",1,NA,NA
"2006_1384","nec",1,NA,NA
"2006_1385","big_east",1,NA,NA
"2006_1386","a_ten",1,NA,NA
"2006_1387","a_ten",1,NA,NA
"2006_1388","wcc",1,NA,NA
"2006_1389","maac",1,NA,NA
"2006_1390","pac_ten",1,NA,NA
"2006_1391","a_sun",1,NA,NA
"2006_1392","aec",1,NA,NA
"2006_1393","big_east",1,5,"Atlanta"
"2006_1394","ind",1,NA,NA
"2006_1395","mwc",1,NA,NA
"2006_1396","a_ten",1,NA,NA
"2006_1397","sec",1,2,"WashingtonDC"
"2006_1398","ovc",1,NA,NA
"2006_1399","ovc",1,NA,NA
"2006_1400","big_twelve",1,2,"Atlanta"
"2006_1401","big_twelve",1,12,"Atlanta"
"2006_1402","southland",1,NA,NA
"2006_1403","big_twelve",1,NA,NA
"2006_1404","ovc",1,NA,NA
"2006_1405","mac",1,NA,NA
"2006_1406","caa",1,NA,NA
"2006_1407","sun_belt",1,NA,NA
"2006_1408","cusa",1,NA,NA
"2006_1409","cusa",1,NA,NA
"2006_1410","ind",1,NA,NA
"2006_1411","swac",1,NA,NA
"2006_1412","cusa",1,9,"WashingtonDC"
"2006_1413","ind",1,NA,NA
"2006_1414","big_west",1,NA,NA
"2006_1415","big_west",1,NA,NA
"2006_1416","cusa",1,NA,NA
"2006_1417","pac_ten",1,2,"Oakland"
"2006_1418","sun_belt",1,NA,NA
"2006_1419","southland",1,NA,NA
"2006_1420","aec",1,NA,NA
"2006_1421","big_south",1,NA,NA
"2006_1422","southern",1,NA,NA
"2006_1423","caa",1,9,"Atlanta"
"2006_1424","mwc",1,NA,NA
"2006_1425","pac_ten",1,NA,NA
"2006_1426","southland",1,NA,NA
"2006_1427","southland",1,NA,NA
"2006_1428","mwc",1,NA,NA
"2006_1429","wac",1,12,"WashingtonDC"
"2006_1430","ind",0,NA,NA
"2006_1431","cusa",1,NA,NA
"2006_1433","caa",1,NA,NA
"2006_1434","mid_cont",1,NA,NA
"2006_1435","sec",1,NA,NA
"2006_1436","aec",1,NA,NA
"2006_1437","big_east",1,1,"Minneapolis"
"2006_1438","acc",1,NA,NA
"2006_1439","acc",1,NA,NA
"2006_1440","big_south",1,NA,NA
"2006_1441","southern",1,NA,NA
"2006_1442","mid_cont",1,NA,NA
"2006_1443","sun_belt",1,NA,NA
"2006_1444","mac",1,NA,NA
"2006_1447","nec",1,NA,NA
"2006_1448","acc",1,NA,NA
"2006_1449","pac_ten",1,5,"WashingtonDC"
"2006_1450","pac_ten",1,NA,NA
"2006_1451","big_sky",1,NA,NA
"2006_1452","big_east",1,6,"Atlanta"
"2006_1453","horizon",1,NA,NA
"2006_1454","horizon",1,11,"Minneapolis"
"2006_1455","mvc",1,7,"WashingtonDC"
"2006_1456","caa",1,NA,NA
"2006_1457","big_south",1,15,"WashingtonDC"
"2006_1458","big_ten",1,9,"Minneapolis"
"2006_1459","southern",1,NA,NA
"2006_1460","horizon",1,NA,NA
"2006_1461","mwc",1,NA,NA
"2006_1462","a_ten",1,14,"Oakland"
"2006_1463","ivy",1,NA,NA
"2006_1464","horizon",1,NA,NA
"2007_1102","mwc",1,NA,NA
"2007_1103","mac",1,NA,NA
"2007_1104","sec",1,NA,NA
"2007_1105","swac",1,NA,NA
"2007_1106","swac",1,NA,NA
"2007_1107","aec",1,13,"South"
"2007_1108","swac",1,NA,NA
"2007_1110","patriot",1,NA,NA
"2007_1111","southern",1,NA,NA
"2007_1112","pac_ten",1,8,"Midwest"
"2007_1113","pac_ten",1,NA,NA
"2007_1114","sun_belt",1,NA,NA
"2007_1115","swac",1,NA,NA
"2007_1116","sec",1,12,"East"
"2007_1117","sun_belt",1,NA,NA
"2007_1119","patriot",1,NA,NA
"2007_1120","sec",1,NA,NA
"2007_1122","ovc",1,NA,NA
"2007_1123","mac",1,NA,NA
"2007_1124","big_twelve",1,NA,NA
"2007_1125","a_sun",1,15,"East"
"2007_1126","meac",1,NA,NA
"2007_1127","aec",1,NA,NA
"2007_1129","wac",1,NA,NA
"2007_1130","acc",1,7,"East"
"2007_1131","aec",1,NA,NA
"2007_1132","mac",1,NA,NA
"2007_1133","mvc",1,NA,NA
"2007_1135","ivy",1,NA,NA
"2007_1137","patriot",1,NA,NA
"2007_1138","mac",1,NA,NA
"2007_1139","horizon",1,5,"Midwest"
"2007_1140","mwc",1,8,"South"
"2007_1141","mac",1,NA,NA
"2007_1142","big_west",1,NA,NA
"2007_1143","pac_ten",1,NA,NA
"2007_1144","a_sun",1,NA,NA
"2007_1145","maac",1,NA,NA
"2007_1146","southland",0,NA,NA
"2007_1147","mid_cont",1,NA,NA
"2007_1148","nec",1,16,"South"
"2007_1149","big_south",1,NA,NA
"2007_1150","a_ten",1,NA,NA
"2007_1151","southern",1,NA,NA
"2007_1152","ind",1,NA,NA
"2007_1153","big_east",1,NA,NA
"2007_1154","southern",1,NA,NA
"2007_1155","acc",1,NA,NA
"2007_1156","horizon",1,NA,NA
"2007_1157","big_south",1,NA,NA
"2007_1158","southern",1,NA,NA
"2007_1159","patriot",1,NA,NA
"2007_1160","big_twelve",1,NA,NA
"2007_1161","mwc",1,NA,NA
"2007_1162","ivy",1,NA,NA
"2007_1163","big_east",1,NA,NA
"2007_1164","meac",1,NA,NA
"2007_1165","ivy",1,NA,NA
"2007_1166","mvc",1,10,"South"
"2007_1168","big_west",1,NA,NA
"2007_1169","big_west",1,NA,NA
"2007_1170","big_sky",1,NA,NA
"2007_1171","ivy",1,NA,NA
"2007_1172","southern",1,13,"Midwest"
"2007_1173","a_ten",1,NA,NA
"2007_1174","caa",1,NA,NA
"2007_1175","meac",1,NA,NA
"2007_1176","sun_belt",1,NA,NA
"2007_1177","big_east",1,NA,NA
"2007_1178","horizon",1,NA,NA
"2007_1179","mvc",1,NA,NA
"2007_1180","caa",1,NA,NA
"2007_1181","acc",1,6,"West"
"2007_1182","a_ten",1,NA,NA
"2007_1183","ovc",1,NA,NA
"2007_1184","ovc",1,16,"East"
"2007_1185","mac",1,NA,NA
"2007_1186","big_sky",1,NA,NA
"2007_1187","cusa",1,NA,NA
"2007_1189","southern",1,NA,NA
"2007_1190","a_sun",1,NA,NA
"2007_1191","mvc",1,NA,NA
"2007_1192","nec",1,NA,NA
"2007_1193","maac",1,NA,NA
"2007_1194","sun_belt",1,NA,NA
"2007_1196","sec",1,1,"Midwest"
"2007_1197","meac",1,16,"West"
"2007_1198","sun_belt",1,NA,NA
"2007_1199","acc",1,NA,NA
"2007_1200","a_ten",1,NA,NA
"2007_1201","wac",1,NA,NA
"2007_1202","southern",1,NA,NA
"2007_1203","a_ten",1,11,"East"
"2007_1204","southern",1,NA,NA
"2007_1205","a_sun",1,NA,NA
"2007_1206","caa",1,NA,NA
"2007_1207","big_east",1,2,"East"
"2007_1208","sec",1,NA,NA
"2007_1209","caa",1,NA,NA
"2007_1210","acc",1,10,"Midwest"
"2007_1211","wcc",1,10,"West"
"2007_1212","swac",1,NA,NA
"2007_1214","meac",1,NA,NA
"2007_1216","aec",1,NA,NA
"2007_1217","ivy",1,NA,NA
"2007_1218","wac",1,NA,NA
"2007_1219","big_south",1,NA,NA
"2007_1220","caa",1,NA,NA
"2007_1221","patriot",1,13,"West"
"2007_1222","cusa",1,NA,NA
"2007_1224","meac",1,NA,NA
